LGA,speaks_english_only,pop
Albury,48134,56093
Armidale Regional,23203,29124
Ballina,41545,46296
Balranald,1695,2208
Bathurst Regional,38175,43567
Bayside (NSW),73964,175184
Bega Valley,32334,35942
Bellingen,11768,13253
Berrigan,7560,8665
Blacktown,188793,396776
Bland,4897,5547
Blayney,6908,7497
Blue Mountains,70398,78121
Bogan,2183,2467
Bourke,1840,2340
Brewarrina,1094,1356
Broken Hill,15480,17588
Burwood,12641,40217
Byron,28996,36116
Cabonne,12493,13766
Camden,88349,119325
Campbelltown (NSW),102037,176519
Canada Bay,50084,89177
Canterbury-Bankstown,125243,371006
Carrathool,2247,2866
Central Coast (NSW),304010,346596
Central Darling,1334,1725
Cessnock,57361,63632
Clarence Valley,48046,54115
Cobar,3278,4059
Coffs Harbour,66787,78759
Coolamon,4070,4385
Coonamble,3122,3732
Cootamundra-Gundagai Regional,10161,11403
Cowra,11237,12724
Cumberland,62732,235439
Dubbo Regional,45188,54922
Dungog,9027,9541
Edward River,7430,8456
Eurobodalla,35935,40593
Fairfield,48753,208475
Federation,11684,12899
Forbes,8358,9319
Georges River,64097,152274
Gilgandra,3727,4295
Glen Innes Severn,7718,8931
Goulburn Mulwaree,27516,32053
Greater Hume Shire,10014,11157
Griffith,18662,27086
Gunnedah,11402,12929
Gwydir,4418,4910
Hawkesbury,59393,67207
Hay,2422,2882
Hilltops,16836,19254
Hornsby,92951,151811
Hunters Hill,10052,13559
Inner West,127518,182818
Inverell,15509,17853
Junee,4953,6415
Kempsey,26714,30688
Kiama,20993,23074
Ku-ring-gai,79470,124076
Kyogle,8140,9359
Lachlan,5149,6094
Lake Macquarie,194306,213845
Lane Cove,26798,39438
Leeton,9374,11452
Lismore,38754,44334
Lithgow,18199,20842
Liverpool,92144,233446
Liverpool Plains,6498,7551
Lockhart,3000,3319
Maitland,81723,90226
Mid-Coast,86805,96579
Mid-Western Regional,22921,25713
Moree Plains,9658,12751
Mosman,22671,28329
Murray River,11466,12850
Murrumbidgee,2895,3353
Muswellbrook,14400,16357
Nambucca Valley,18156,20407
Narrabri,11039,12703
Narrandera,4937,5698
Narromine,5372,6360
Newcastle,143184,168873
North Sydney,49499,68950
Northern Beaches,213359,263554
Oberon,4612,5580
Orange,37958,43512
Parkes,12796,14361
Parramatta,98111,256729
Penrith,161419,217664
Port Macquarie-Hastings,79252,86762
Port Stephens,68383,75276
Queanbeyan-Palerang Regional,51554,63304
Randwick,88767,134252
Richmond Valley,20715,23565
Ryde,59738,129123
Shellharbour,65160,76271
Shoalhaven,95928,108531
Singleton,22267,24577
Snowy Monaro Regional,18588,21666
Snowy Valleys,12979,14891
Strathfield,13277,45593
Sutherland Shire,190743,230211
Sydney,122723,211632
Tamworth Regional,54968,63070
Temora,5562,6034
Tenterfield,5968,6810
The Hills Shire,112395,191876
Tweed,85814,97392
Upper Hunter Shire,12728,14229
Upper Lachlan Shire,7604,8514
Uralla,5447,5971
Wagga Wagga,57697,67609
Walcha,2665,3016
Walgett,3595,5253
Warren,2202,2550
Warrumbungle Shire,7757,9225
Waverley,50164,68605
